stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2429,3306,"Daszyńskiego-Sienkiewicza (Aleksandrów)",,51.823860,19.302530,2,,0,,,0
2430,3315,"Pabianicka-Piłsudskiego (Aleksandrów)",,51.813310,19.316000,2,,0,,,0
2431,3317,"Pabianicka-Południowa (Aleksandrów)",,51.815270,19.306730,2,,0,,,0
2432,3482,"Poselska (Aleksandrów)",,51.808150,19.319290,2,,0,,,0
2433,3486,"Słowiańska-szkoła (Rąbień)",,51.789650,19.322480,2,,0,,,0
2434,3487,"Słowiańska-szkoła (Rąbień)",,51.789530,19.321780,2,,0,,,0
2435,3488,"Słowiańska-Szaraka NŻ (Rąbień)",,51.790070,19.331610,2,,0,,,0
2436,3489,"Słowiańska-Szaraka NŻ (Rąbień)",,51.790020,19.332220,2,,0,,,0
2437,3490,"Słowiańska-Wysoka NŻ (Rąbień)",,51.790570,19.343230,2,,0,,,0
2438,3491,"Słowiańska-Wysoka NŻ (Rąbień)",,51.790480,19.342640,2,,0,,,0
2439,3492,"Słowiańska-Szczecińska (Antoniew)",,51.790000,19.353460,2,,0,,,0
2440,3493,"Słowiańska-Szczecińska (Antoniew)",,51.789960,19.352810,2,,0,,,0
2442,1644,"Instytut CZMP",,51.703350,19.481120,1,,0,,,0
2444,2037,"Kotoniarska-Szybowa NŻ",,51.722750,19.527310,1,,0,,,0
2445,2038,"Kotoniarska-Szybowa NŻ",,51.722610,19.526680,1,,0,,,0
2457,0248,"Struga-Piotrkowska",,51.765520,19.456440,1,,0,,,0
2459,0503,"Marmurowa-Opolska NŻ",,51.807100,19.545330,1,,0,,,0
2460,0504,"Marmurowa-Opolska NŻ",,51.807040,19.545420,1,,0,,,0
2461,3494,"Paprotnia-Moczydła NŻ",,51.805720,19.677610,2,,0,,,0
2462,3495,"Paprotnia-Moczydła NŻ",,51.805880,19.676910,2,,0,,,0
